,Дата,Ставка
245,20.04.2023,7.5
246,19.04.2023,7.5
247,18.04.2023,7.5
248,17.04.2023,7.5
249,14.04.2023,7.5
250,13.04.2023,7.5
251,12.04.2023,7.5
252,11.04.2023,7.5
253,10.04.2023,7.5
254,07.04.2023,7.5
255,06.04.2023,7.5
256,05.04.2023,7.5
257,04.04.2023,7.5
258,03.04.2023,7.5
259,31.03.2023,7.5
260,30.03.2023,7.5
261,29.03.2023,7.5
262,28.03.2023,7.5
263,27.03.2023,7.5
264,24.03.2023,7.5
265,23.03.2023,7.5
266,22.03.2023,7.5
267,21.03.2023,7.5
268,20.03.2023,7.5
269,17.03.2023,7.5
270,16.03.2023,7.5
271,15.03.2023,7.5
272,14.03.2023,7.5
273,13.03.2023,7.5
274,10.03.2023,7.5
275,09.03.2023,7.5
276,07.03.2023,7.5
277,06.03.2023,7.5
278,03.03.2023,7.5
279,02.03.2023,7.5
280,01.03.2023,7.5
281,28.02.2023,7.5
282,27.02.2023,7.5
283,24.02.2023,7.5
284,22.02.2023,7.5
285,21.02.2023,7.5
286,20.02.2023,7.5
287,17.02.2023,7.5
288,16.02.2023,7.5
289,15.02.2023,7.5
290,14.02.2023,7.5
291,13.02.2023,7.5
292,10.02.2023,7.5
293,09.02.2023,7.5
294,08.02.2023,7.5
295,07.02.2023,7.5
296,06.02.2023,7.5
297,03.02.2023,7.5
298,02.02.2023,7.5
299,01.02.2023,7.5
300,31.01.2023,7.5
301,30.01.2023,7.5
302,27.01.2023,7.5
303,26.01.2023,7.5
304,25.01.2023,7.5
305,24.01.2023,7.5
306,23.01.2023,7.5
307,20.01.2023,7.5
308,19.01.2023,7.5
309,18.01.2023,7.5
310,17.01.2023,7.5
311,16.01.2023,7.5
312,13.01.2023,7.5
313,12.01.2023,7.5
314,11.01.2023,7.5
315,10.01.2023,7.5
316,09.01.2023,7.5
317,06.01.2023,7.5
318,05.01.2023,7.5
319,04.01.2023,7.5
320,03.01.2023,7.5
321,30.12.2022,7.5
